Machine id,Region,Created at,Time to start,Time to respond (cold start)
e2865996a75358,hkg,1702379169000,5981,4093
918571d9c21598,hkg,1702379170000,3856,28121
6e82de07b2eee8,hkg,1702379169000,6014,51
91857442a16938,hkg,1702382701000,4762,100
e784e11ef40178,hkg,1702382702000,16895,2086
e784e457fedd18,hkg,1702382701000,3465,49
e784e456ce1978,hkg,1702386298000,11399,90
3d8d9227c23458,hkg,1702386298000,5676,6095
e2865d23a966d8,hkg,1702386298000,5362,64
148ed1e6f10918,hkg,1702389928000,4117,100
5683d6e9a1d548,hkg,1702389928000,3129,4089
6e82de07b2e3e8,hkg,1702389928000,3470,14104
e784e457fed618,hkg,1702393469000,3242,2050
9080e0d7f502d8,hkg,1702393469000,3375,2091
5683d553cd5268,hkg,1702393469000,4168,104
91857447c10638,hkg,1702397058000,3596,52
918571d0a276e8,hkg,1702397058000,3242,51
e2865995c7d558,hkg,1702397058000,5219,90
e784e456ce1078,hkg,1702400676000,2773,88
17811327a42e98,hkg,1702400676000,3489,50
4d891756ce47d8,hkg,1702400677000,3689,52
9080e0d5b51d08,hkg,1702404247000,3755,83
6e82d664c06198,hkg,1702404247000,4196,87
6e82d66df01d98,hkg,1702404247000,4350,84
e784e112c41048,hkg,1702407837000,5784,2088
148ed1e6f10518,hkg,1702407837000,5572,50
e2865d21b95d68,hkg,1702407837000,7647,51
e2865d20c97008,hkg,1702411459000,5219,88
3d8d950ea13678,hkg,1702411460000,5447,91
e784e113a40498,hkg,1702411459000,5899,83
148ed002a35178,hkg,1702415018000,3872,88
e2865995c7d058,hkg,1702415018000,6056,2052
3287490df35778,hkg,1702415018000,2890,91
9080e0d4c5d468,hkg,1702418626000,2633,89
17811327a42d48,hkg,1702418626000,2818,85
17811ee1c53d18,hkg,1702418626000,2831,54
4d891331c49798,hkg,1702422212000,4075,86
3d8d9227c23658,hkg,1702422212000,6199,2091
148ed1e6f12618,hkg,1702422212000,3690,2090
6e82d664c0d998,hkg,1702425846000,4995,92
9080e0d5b51908,hkg,1702425846000,2497,51
17811320b4d7e8,hkg,1702425847000,5610,51
3d8d950ea17d78,hkg,1702429452000,3697,92
9080e336c1d458,hkg,1702429452000,5496,87
5683d55dfd3068,hkg,1702429453000,4060,85
3d8d9503f12468,hkg,1702433029000,5316,49
4d891756ce41d8,hkg,1702433029000,6105,2097
3d8d950ea17d58,hkg,1702433029000,4181,2092
17811ee6a5d718,hkg,1702436641000,2585,88
918571d0a27918,hkg,1702436641000,3432,59
6e82de03f2d798,hkg,1702436641000,2764,2091
3d8d9229f26458,hkg,1702440251000,3350,90
17811327a42148,hkg,1702440251000,2523,2093
9080e0d5b51e08,hkg,1702440251000,4069,2083
9080e331a17578,hkg,1702443837000,3491,52
3d8d9501c10408,hkg,1702443837000,2385,53
e784e11ef40948,hkg,1702443837000,3765,90
9185744eb10528,hkg,1702447437000,7168,87
9080e0d4c5d158,hkg,1702447438000,5665,90
3d8d9501c10508,hkg,1702447438000,6001,49
e784e112c434d8,hkg,1702451022000,5990,54
4d891330b49538,hkg,1702451022000,4629,2091
e784e11efe7748,hkg,1702451022000,3470,54
91857442a131d8,hkg,1702454661000,4862,8058
4d891754ae2908,hkg,1702454661000,2730,4092
32874903a33218,hkg,1702454661000,5220,59
9080e0d5b55438,hkg,1702458280000,3330,53
5683d6e9a119e8,hkg,1702458280000,3650,83
9080e336c1d528,hkg,1702458280000,4234,92
4d891756cee648,hkg,1702461840000,2952,2382
e784e456ce3d48,hkg,1702461840000,2404,2090
6e82de09a22728,hkg,1702461840000,3352,6095
